loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type
L000138,15.0,2019-04,2018-01,16.0,344.0,219000.0,209266.6666666665,3.62,,71-80,>50,VA,,Investment,2-4 Unit,Servicer_B,Prepaid,0.0,0.0,1.0,0.0,None,2026-08-25T20:24:23.806751,SystemA,Missing,1,1,1,0,Prepaid,0,None
L000138,16.0,2019-05,2018-01,17.0,343.0,219000.0,208658.33333333317,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_D,,0.0,,1.0,0.0,None,2026-08-25T20:24:23.806789,SystemA,Partial,1,1,1,0,Prepaid,0,None
L000138,17.0,2019-06,2018-01,18.0,342.0,219000.0,208049.99999999983,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_D,Prepaid,0.0,0.0,1.0,0.0,None,2026-08-25T20:24:23.806827,SystemA,Missing,1,1,1,0,Prepaid,0,None
L000138,18.0,2019-07,2018-01,19.0,341.0,219000.0,207441.66666666648,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_B,Prepaid,0.0,0.0,1.0,0.0,None,2026-08-25T20:24:23.806860,SystemB,Missing,1,1,1,0,Prepaid,0,None
L000138,19.0,2019-08,2018-01,20.0,340.0,,206833.33333333314,3.62,700-739,71-80,>50,VA,,Investment,2-4 Unit,Servicer_D,Prepaid,0.0,0.0,1.0,0.0,None,2026-08-25T20:24:23.806894,SystemB,Partial,1,1,1,0,Prepaid,0,None
L000138,20.0,2019-09,2018-01,,339.0,219000.0,206224.9999999998,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_C,Prepaid,0.0,0.0,1.0,0.0,None,,SystemA,Missing,1,1,1,0,Prepaid,0,None
L000138,21.0,2019-10,2018-01,22.0,338.0,219000.0,205616.66666666645,3.62,700-739,,>50,VA,Refinance,Investment,2-4 Unit,Servicer_B,Prepaid,0.0,0.0,1.0,0.0,None,2026-08-25T20:24:23.806964,SystemA,Under Review,1,1,1,0,Prepaid,0,None
L000138,22.0,2019-11,2018-01,23.0,337.0,219000.0,205008.3333333331,3.62,700-739,71-80,>50,VA,Refinance,,2-4 Unit,Servicer_B,Prepaid,0.0,,1.0,0.0,None,2026-08-25T20:24:23.806999,SystemA,Complete,1,1,1,0,Prepaid,0,None
L000138,23.0,2019-12,2018-01,24.0,336.0,219000.0,204399.99999999977,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_D,Prepaid,0.0,0.0,1.0,0.0,None,2026-08-25T20:24:23.807035,,Partial,1,1,1,0,Prepaid,0,None
L000138,24.0,2020-01,2018-01,25.0,335.0,219000.0,203791.66666666642,3.62,700-739,71-80,>50,VA,,Investment,2-4 Unit,Servicer_A,Prepaid,0.0,0.0,1.0,0.0,None,2026-08-25T20:24:23.807070,SystemB,Partial,1,1,1,0,Prepaid,0,None
L000138,25.0,2020-02,2018-01,26.0,334.0,219000.0,203183.33333333308,3.62,,71-80,>50,VA,Refinance,,2-4 Unit,Servicer_C,Prepaid,0.0,0.0,1.0,0.0,None,2026-08-25T20:24:23.807105,SystemA,,1,1,1,0,Prepaid,0,None
L000138,26.0,2020-03,2018-01,27.0,,219000.0,202574.99999999974,3.62,700-739,71-80,>50,,Refinance,Investment,2-4 Unit,Servicer_C,Prepaid,0.0,0.0,1.0,0.0,,2026-08-25T20:24:23.807139,SystemA,Under Review,1,1,1,0,Prepaid,0,None
L000138,27.0,2020-04,2018-01,28.0,332.0,219000.0,201966.6666666664,3.62,700-739,71-80,>50,VA,Refinance,Investment,2-4 Unit,Servicer_D,Prepaid,0.0,0.0,1.0,0.0,None,2026-08-25T20:24:23.807174,SystemB,Under Review,1,1,1,0,Prepaid,0,None
L000080,0.0,2018-01,2018-01,1.0,359.0,430000.0,428805.55555555556,2.68,,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,Servicer_B,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.807294,SystemA,Partial,1,1,0,0,Current,0,None
L000080,1.0,2018-02,2018-01,2.0,358.0,430000.0,427611.1111111111,2.68,660-699,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,Servicer_A,,30.0,0.0,0.0,0.0,,2026-08-25T20:24:23.807334,SystemB,Missing,1,1,0,0,30DPD,1,Payment_Anomaly
L000080,2.0,2018-03,2018-01,3.0,357.0,430000.0,426416.6666666667,2.68,660-699,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,Servicer_C,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.807377,SystemA,Missing,1,1,0,0,30DPD,0,None
L000080,,2018-04,2018-01,4.0,,430000.0,425222.22222222225,2.68,660-699,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,Servicer_C,30DPD,30.0,,0.0,0.0,None,2026-08-25T20:24:23.807426,SystemA,Missing,1,1,0,0,30DPD,0,None
L000080,4.0,2018-05,2018-01,5.0,,430000.0,424027.7777777778,2.68,660-699,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,Servicer_A,,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.807474,SystemA,Complete,1,1,0,0,30DPD,0,None
L000080,5.0,2018-06,2018-01,6.0,354.0,430000.0,422833.3333333334,2.68,660-699,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,Servicer_A,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.807514,SystemB,Partial,1,1,0,0,30DPD,0,None
L000080,6.0,2018-07,2018-01,7.0,,430000.0,421638.88888888893,2.68,660-699,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,Servicer_C,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.807551,SystemB,Complete,1,1,0,0,30DPD,0,None
L000080,7.0,2018-08,2018-01,8.0,352.0,430000.0,420444.4444444445,2.68,660-699,71-80,31-40,MO,Purchase,,2-4 Unit,Servicer_A,30DPD,,0.0,0.0,0.0,None,2026-08-25T20:24:23.807588,SystemB,Complete,1,1,0,0,30DPD,0,None
L000080,8.0,2018-09,2018-01,9.0,351.0,430000.0,419250.00000000006,2.68,660-699,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,Servicer_C,30DPD,30.0,0.0,0.0,0.0,,2026-08-25T20:24:23.807624,SystemA,Missing,1,1,1,0,30DPD,0,None
L000080,9.0,2018-10,2018-01,10.0,350.0,430000.0,418055.5555555556,2.68,660-699,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,Servicer_B,30DPD,30.0,1.0,0.0,0.0,None,2026-08-25T20:24:23.807659,SystemA,Partial,1,1,0,0,30DPD,0,None
L000080,10.0,2018-11,2018-01,11.0,349.0,430000.0,416861.1111111112,2.68,660-699,71-80,31-40,MO,Purchase,Second Home,,Servicer_B,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.807694,SystemB,Partial,1,1,0,0,30DPD,0,None
L000080,11.0,2018-12,2018-01,12.0,348.0,430000.0,415666.66666666674,2.68,,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,Servicer_B,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.807733,SystemA,Missing,1,1,0,0,30DPD,0,None
L000080,12.0,2019-01,2018-01,13.0,,430000.0,414472.2222222223,2.68,660-699,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,Servicer_A,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.807770,SystemB,Partial,1,1,0,0,Current,0,None
L000080,13.0,2019-02,2018-01,,346.0,430000.0,413277.77777777787,2.68,660-699,71-80,31-40,MO,Purchase,Second Home,2-4 Unit,Servicer_A,30DPD,30.0,,0.0,0.0,None,2026-08-25T20:24:23.807807,SystemB,Under Review,1,1,0,0,30DPD,0,None
L000199,0.0,2018-01,2018-01,1.0,359.0,445000.0,443763.8888888889,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_A,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.807919,SystemA,Missing,0,0,0,0,Current,0,None
L000199,1.0,2018-02,2018-01,2.0,358.0,445000.0,442527.77777777775,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_C,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.807958,SystemA,Missing,0,0,0,0,30DPD,0,None
L000199,2.0,2018-03,2018-01,3.0,357.0,445000.0,441291.6666666666,,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_C,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.807994,SystemB,Partial,0,0,0,0,Current,0,None
L000199,3.0,2018-04,2018-01,4.0,356.0,445000.0,,3.41,780+,81-90,>50,GA,,Primary,Single Family,Servicer_B,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808029,SystemB,Partial,0,0,0,0,Current,0,None
L000199,4.0,2018-05,2018-01,5.0,355.0,,438819.4444444444,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_A,Current,0.0,0.0,,0.0,None,2026-08-25T20:24:23.808064,SystemA,,0,0,0,0,Current,0,None
L000199,,2018-06,2018-01,6.0,354.0,445000.0,437583.33333333326,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_D,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808099,SystemA,Missing,0,0,0,0,Current,0,None
L000199,6.0,2018-07,2018-01,7.0,353.0,445000.0,436347.22222222213,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_A,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808133,SystemB,Complete,0,0,0,0,Current,0,None
L000199,7.0,2018-08,2018-01,8.0,352.0,445000.0,435111.111111111,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_A,Current,0.0,0.0,0.0,0.0,None,,SystemB,Partial,0,0,0,0,Current,0,None
L000199,8.0,2018-09,2018-01,9.0,351.0,445000.0,433874.9999999999,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_B,Current,0.0,0.0,0.0,,None,2026-08-25T20:24:23.808204,SystemA,Missing,0,0,0,0,Current,0,None
L000199,9.0,2018-10,2018-01,10.0,350.0,445000.0,432638.88888888876,3.41,780+,,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_D,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808239,SystemA,Missing,0,1,0,0,Current,0,None
L000199,10.0,2018-11,2018-01,11.0,349.0,445000.0,431402.77777777764,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_D,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808274,SystemB,Partial,1,0,0,0,30DPD,0,None
L000199,11.0,2018-12,2018-01,12.0,348.0,445000.0,430166.6666666665,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_A,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808309,SystemA,Complete,0,0,0,0,Current,0,None
L000199,12.0,2019-01,2018-01,13.0,347.0,445000.0,428930.5555555554,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_D,Current,,0.0,0.0,,None,2026-08-25T20:24:23.808346,SystemA,,0,0,0,0,Current,1,Payment_Anomaly
L000199,13.0,2019-02,2018-01,14.0,346.0,445000.0,427694.44444444426,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808388,SystemA,Missing,0,0,1,0,Current,0,None
L000199,14.0,2019-03,2018-01,15.0,345.0,445000.0,426458.33333333314,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_B,Current,,0.0,0.0,0.0,None,2026-08-25T20:24:23.808447,SystemB,Under Review,0,0,0,0,Current,0,None
L000199,15.0,2019-04,2018-01,16.0,344.0,445000.0,425222.222222222,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_D,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808491,SystemA,Missing,0,0,0,0,Current,0,None
L000199,16.0,2019-05,2018-01,17.0,343.0,445000.0,423986.1111111109,3.41,780+,81-90,>50,GA,,Primary,Single Family,Servicer_B,Current,0.0,0.0,0.0,0.0,None,,SystemB,Partial,0,0,0,0,Current,0,None
L000199,17.0,2019-06,2018-01,18.0,342.0,445000.0,422749.99999999977,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_B,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808567,SystemA,Complete,0,0,0,0,Current,0,None
L000199,18.0,2019-07,2018-01,19.0,341.0,445000.0,421513.88888888864,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_C,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808604,SystemB,Partial,0,0,0,1,Current,0,None
L000199,19.0,2019-08,2018-01,20.0,340.0,445000.0,420277.7777777775,,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_C,Current,0.0,,0.0,0.0,None,2026-08-25T20:24:23.808639,SystemB,Missing,0,0,0,0,Current,0,None
L000199,20.0,2019-09,2018-01,21.0,339.0,445000.0,419041.6666666664,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_C,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808676,SystemA,Under Review,0,1,0,0,Current,0,None
L000199,21.0,2019-10,2018-01,22.0,338.0,445000.0,417805.5555555553,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_B,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808739,SystemA,Under Review,0,1,0,0,30DPD,0,None
L000199,22.0,2019-11,2018-01,23.0,337.0,445000.0,416569.44444444415,,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_A,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808905,SystemA,Complete,0,0,0,0,Current,0,None
L000199,23.0,2019-12,2018-01,24.0,336.0,445000.0,415333.333333333,3.41,780+,,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_B,,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.808966,SystemB,Under Review,1,1,0,0,60DPD,0,None
L000199,24.0,2020-01,2018-01,,335.0,445000.0,414097.2222222219,3.41,780+,81-90,>50,GA,Cash-Out Refinance,,Single Family,Servicer_C,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809020,SystemB,Partial,1,1,0,0,30DPD,0,None
L000199,25.0,2020-02,2018-01,26.0,334.0,445000.0,412861.1111111108,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_B,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809067,,,1,1,0,0,30DPD,1,Status_Conflict
L000199,26.0,2020-03,2018-01,27.0,333.0,445000.0,411624.99999999965,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_B,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809116,SystemB,Missing,1,1,1,0,30DPD,0,None
L000199,27.0,2020-04,2018-01,28.0,332.0,445000.0,410388.8888888885,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_B,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809156,SystemB,Missing,1,1,0,0,30DPD,0,None
L000199,28.0,2020-05,2018-01,29.0,331.0,445000.0,409152.7777777774,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_C,30DPD,30.0,0.0,,0.0,None,2026-08-25T20:24:23.809195,SystemA,Missing,1,1,0,0,30DPD,0,None
L000199,29.0,2020-06,2018-01,30.0,,445000.0,407916.6666666663,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_B,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809232,SystemA,Under Review,1,1,0,0,30DPD,0,None
L000199,30.0,2020-07,2018-01,31.0,329.0,445000.0,406680.55555555515,3.41,780+,81-90,>50,GA,,Primary,Single Family,Servicer_D,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809273,SystemA,Missing,0,0,0,0,Current,0,None
L000199,31.0,2020-08,2018-01,32.0,328.0,445000.0,405444.44444444403,,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_C,,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809312,SystemB,Complete,0,1,0,0,Current,0,None
L000199,32.0,2020-09,2018-01,33.0,327.0,445000.0,404208.3333333329,,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_C,Current,0.0,1.0,0.0,,None,2026-08-25T20:24:23.809351,,Complete,0,0,0,0,30DPD,0,None
L000199,33.0,2020-10,2018-01,34.0,326.0,445000.0,402972.2222222218,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_A,Current,0.0,0.0,0.0,,None,2026-08-25T20:24:23.809397,SystemB,Complete,0,1,0,0,Current,0,None
L000199,,2020-11,2018-01,35.0,325.0,445000.0,401736.11111111066,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_A,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809437,SystemA,Partial,1,1,0,0,30DPD,0,None
L000199,35.0,2020-12,2018-01,36.0,324.0,445000.0,400499.99999999953,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_A,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809479,SystemA,Partial,1,1,0,0,30DPD,0,None
L000199,36.0,2021-01,2018-01,37.0,323.0,445000.0,399263.8888888884,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_A,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809521,SystemA,Under Review,1,1,0,0,60DPD,0,None
L000199,37.0,2021-02,2018-01,38.0,322.0,445000.0,398027.7777777773,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_A,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809564,SystemB,Under Review,1,1,1,0,30DPD,0,None
L000199,38.0,2021-03,2018-01,39.0,321.0,445000.0,396791.66666666616,3.41,780+,81-90,>50,GA,Cash-Out Refinance,Primary,Single Family,Servicer_C,30DPD,30.0,1.0,0.0,0.0,None,2026-08-25T20:24:23.809604,SystemA,Under Review,1,1,0,0,60DPD,0,None
L000365,0.0,2018-01,2018-01,1.0,359.0,230000.0,229361.11111111112,5.48,620-659,91-95,>50,MD,Refinance,Investment,Manufactured,Servicer_A,Current,0.0,0.0,0.0,0.0,,2026-08-25T20:24:23.809738,SystemA,Partial,0,0,0,0,30DPD,0,None
L000365,1.0,2018-02,2018-01,2.0,358.0,230000.0,228722.22222222225,5.48,620-659,91-95,>50,MD,Refinance,Investment,Manufactured,Servicer_D,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809783,SystemA,Missing,1,1,0,0,60DPD,0,None
L000365,2.0,2018-03,2018-01,3.0,357.0,230000.0,228083.33333333337,5.48,620-659,91-95,>50,MD,Refinance,Investment,Manufactured,Servicer_C,Current,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809823,SystemA,Partial,0,1,0,0,Current,0,None
L000365,3.0,2018-04,2018-01,4.0,356.0,230000.0,227444.4444444445,5.48,620-659,91-95,>50,MD,Refinance,Investment,Manufactured,Servicer_B,Current,0.0,0.0,,0.0,None,2026-08-25T20:24:23.809863,SystemB,Under Review,0,0,1,0,Current,0,None
L000365,4.0,2018-05,2018-01,5.0,355.0,230000.0,226805.55555555562,5.48,620-659,,>50,MD,Refinance,Investment,Manufactured,Servicer_D,,0.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809903,SystemB,Under Review,0,0,1,0,Current,0,None
L000365,5.0,2018-06,2018-01,6.0,354.0,230000.0,226166.66666666674,5.48,620-659,91-95,,MD,Refinance,Investment,Manufactured,Servicer_B,30DPD,30.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.809945,SystemB,Missing,1,1,0,0,30DPD,0,None
L000365,6.0,2018-07,2018-01,7.0,353.0,230000.0,225527.77777777787,5.48,620-659,91-95,>50,MD,Refinance,Investment,Manufactured,Servicer_B,60DPD,,1.0,0.0,0.0,None,2026-08-25T20:24:23.809983,SystemA,Missing,1,1,1,0,60DPD,1,Status_Conflict
L000365,7.0,2018-08,2018-01,8.0,352.0,230000.0,224888.888888889,5.48,620-659,91-95,,MD,Refinance,Investment,Manufactured,Servicer_A,60DPD,,0.0,0.0,0.0,None,2026-08-25T20:24:23.810029,SystemA,Missing,1,1,1,0,60DPD,0,None
L000365,8.0,2018-09,2018-01,9.0,351.0,,224250.00000000012,5.48,,91-95,>50,MD,Refinance,Investment,Manufactured,Servicer_C,60DPD,60.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.810068,SystemA,Missing,1,1,1,0,60DPD,0,None
L000365,9.0,2018-10,2018-01,10.0,350.0,230000.0,223611.11111111124,5.48,620-659,91-95,>50,MD,Refinance,Investment,Manufactured,Servicer_B,60DPD,60.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.810115,SystemA,Complete,1,1,1,0,60DPD,0,None
L000365,10.0,2018-11,2018-01,11.0,349.0,230000.0,222972.22222222236,5.48,620-659,91-95,>50,MD,Refinance,Investment,Manufactured,Servicer_A,60DPD,60.0,0.0,0.0,0.0,None,2026-08-25T20:24:23.810160,SystemA,Under Review,1,1,1,0,60DPD,0,None
L000365,11.0,2018-12,2018-01,12.0,348.0,230000.0,222333.3333333335,5.48,620-659,91-95,,MD,Refinance,Investment,Manufactured,Servicer_A,60DPD,60.0,0.0,0.0,0.0,,2026-08-25T20:24:23.810211,SystemB,Missing,1,1,1,0,60DPD,1,Balance_Discrepancy
L000365,12.0,2019-01,2018-01,13.0,347.0,230000.0,221694.4444444446,5.48,620-659,91-95,>50,MD,Refinance,Investment,Manufactured,Servicer_D,90DPD,90.0,1.0,0.0,0.0,None,2026-08-25T20:24:23.810275,SystemB,Missing,1,1,1,0,Default,0,None
L000365,13.0,2019-02,2018-01,14.0,346.0,230000.0,221055.55555555574,5.48,620-659,91-95,>50,MD,Refinance,Investment,Manufactured,Servicer_D,,120.0,0.0,0.0,,,2026-08-25T20:24:23.810341,SystemB,Complete,1,1,1,0,Default,0,None
